"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30191","Auto Suggest in google search","webkit","Tue May 20 16:54:59 IST 2025","broken","Tue May 20 16:55:29 IST 2025","","16_AutoSuggestionDropdown.spec.js","",""
"","9743","Multi Selected Items","chromium","Tue May 20 16:50:28 IST 2025","passed","Tue May 20 16:50:38 IST 2025","","15_MultiSelectDropdown.spec.js","",""
"","4833","Test3","chromium","Tue May 20 16:50:53 IST 2025","passed","Tue May 20 16:50:58 IST 2025","","22_Reports.spec.js","",""
"","15434","Test Dropdown","chromium","Tue May 20 16:50:25 IST 2025","passed","Tue May 20 16:50:41 IST 2025","","14_Dropdown.spec.js","",""
"","34171","Auto Suggest in google search","firefox","Tue May 20 16:52:57 IST 2025","broken","Tue May 20 16:53:31 IST 2025","","16_AutoSuggestionDropdown.spec.js","",""
"","16571","Checkbox - In Playwright","chromium","Tue May 20 16:50:24 IST 2025","passed","Tue May 20 16:50:40 IST 2025","","13_Checkbox.spec.js","",""
"","4616","JS Prompt","chromium","Tue May 20 16:50:16 IST 2025","passed","Tue May 20 16:50:21 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","08_PopupAlerts.spec.js","",""
"","32573","Element screenshot","firefox","Tue May 20 16:53:44 IST 2025","broken","Tue May 20 16:54:16 IST 2025","","21_ScreenshotPract.spec.js","",""
"","20720","Builtin Locators","chromium","Tue May 20 16:50:01 IST 2025","passed","Tue May 20 16:50:21 IST 2025","","04_Builtin_Locators.spec.js","",""
"","6133","JS Alert - Validate Confirm Test and Click OK","webkit","Tue May 20 16:54:21 IST 2025","passed","Tue May 20 16:54:27 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","08_PopupAlerts.spec.js","",""
"","34770","Radio button","firefox","Tue May 20 16:52:00 IST 2025","broken","Tue May 20 16:52:35 IST 2025","","11_Radiobutton.spec.js","",""
